,Time,Length,Is_malicious
74426,1659046870.0,74,1
60742,1659046870.02174,54,1
60743,1659046870.760982,641,1
60745,1659046870.905655,627,1
60744,1659046870.905655,1434,1
60746,1659046870.905752,54,1
74427,1659046871.0,74,1
60747,1659046871.073307,641,1
60748,1659046871.078665,60,1
60749,1659046871.145278,66,1
60750,1659046871.147179,66,1
60751,1659046871.147217,54,1
60752,1659046871.147403,54,1
60753,1659046871.149346,60,1
60754,1659046871.149365,54,1
60755,1659046871.390874,66,1
74428,1659046873.0,74,1
60756,1659046873.144652,66,1
60757,1659046873.147109,66,1
60758,1659046873.147172,54,1
60759,1659046873.14749,54,1
60761,1659046873.150034,60,1
60760,1659046873.150034,60,1
60762,1659046873.150068,54,1
60763,1659046873.906835,62,1
60764,1659046873.937833,74,1
74429,1659046874.0,74,1
60765,1659046874.85964,55,1
60766,1659046874.913854,66,1
60767,1659046874.923862,88,1
60768,1659046874.954357,88,1
74430,1659046875.0,74,1
60769,1659046875.144859,66,1
60770,1659046875.147813,66,1
60771,1659046875.147873,54,1
60772,1659046875.149717,54,1
60773,1659046875.152574,60,1
60774,1659046875.152623,54,1
60775,1659046875.459685,178,1
60776,1659046875.703564,74,1
60777,1659046875.710427,178,1
60778,1659046875.712418,77,1
60779,1659046875.854973,94,1
74431,1659046877.0,74,1
60780,1659046877.03158,641,1
60781,1659046877.145883,66,1
60782,1659046877.148824,66,1
60783,1659046877.148875,54,1
60784,1659046877.149053,54,1
60785,1659046877.151873,60,1
60786,1659046877.151873,60,1
60787,1659046877.151907,54,1
60788,1659046877.349273,60,1
60789,1659046877.850955,684,1
60790,1659046877.894799,54,1
74432,1659046878.0,74,1
60791,1659046878.281737,1166,1
60792,1659046878.552839,60,1
60793,1659046878.869066,199,1
60794,1659046878.869234,4708,1
74433,1659046879.0,74,1
60795,1659046879.02078,60,1
60796,1659046879.020932,60,1
60797,1659046879.039623,774,1
60798,1659046879.094351,54,1
60799,1659046879.144987,66,1
60800,1659046879.147485,66,1
60801,1659046879.147539,54,1
60802,1659046879.148774,54,1
60803,1659046879.151425,60,1
60804,1659046879.151463,54,1
60805,1659046879.922791,88,1
60806,1659046879.953631,88,1
74434,1659046881.0,74,1
60807,1659046881.145982,66,1
60808,1659046881.148187,66,1
60809,1659046881.148256,54,1
60810,1659046881.148418,54,1
60812,1659046881.150519,60,1
60811,1659046881.150519,60,1
60813,1659046881.150556,54,1
74435,1659046882.0,74,1
60814,1659046882.333982,1187,1
60815,1659046882.605301,60,1
74436,1659046883.0,74,1
60816,1659046883.147334,66,1
60817,1659046883.14943,66,1
60818,1659046883.149484,54,1
60819,1659046883.149665,54,1
60820,1659046883.151418,66,1
60821,1659046883.151441,66,1
60822,1659046883.151689,60,1
60823,1659046883.151719,54,1
60824,1659046883.974138,62,1
74437,1659046884.0,74,1
60825,1659046884.004904,74,1
60826,1659046884.152118,702,1
60827,1659046884.470079,60,1
60828,1659046884.99587,88,1
74438,1659046885.0,74,1
60829,1659046885.031107,88,1
60830,1659046885.145366,66,1
60831,1659046885.147439,66,1
60832,1659046885.1475,54,1
60833,1659046885.182569,54,1
60834,1659046885.1847,60,1
60835,1659046885.184754,54,1
60836,1659046885.703296,74,1
60837,1659046885.726377,77,1
74439,1659046887.0,74,1
60838,1659046887.145629,66,1
60839,1659046887.148133,66,1
60840,1659046887.148182,54,1
60841,1659046887.159692,54,1
60842,1659046887.162263,60,1
60843,1659046887.162303,54,1
74440,1659046888.0,74,1
60844,1659046888.574523,190,1
60845,1659046888.592125,190,1
74441,1659046889.0,74,1
60846,1659046889.150566,66,1
60847,1659046889.152595,66,1
60848,1659046889.152659,54,1
60849,1659046889.171479,54,1
60850,1659046889.173595,60,1
60851,1659046889.173643,54,1
